,tenure,MonthlyCharges,Contract,InternetService,Churn_Probability,Risk_Level,Monthly_Revenue
694,22,20.05,One year,No,1.0,Low Risk,20.05
751,70,80.15,Two year,DSL,1.0,Low Risk,80.15
620,10,34.55,Month-to-month,DSL,1.0,Low Risk,34.55
755,20,98.55,Month-to-month,Fiber optic,1.0,Low Risk,98.55
853,5,64.35,Month-to-month,DSL,1.0,Low Risk,64.35
742,10,98.55,Month-to-month,Fiber optic,1.0,Low Risk,98.55
837,1,44.4,Month-to-month,DSL,1.0,Low Risk,44.4
879,33,54.65,Month-to-month,DSL,1.0,Low Risk,54.65
1204,18,25.55,Month-to-month,DSL,1.0,Low Risk,25.55
596,16,54.85,Two year,DSL,1.0,Low Risk,54.85
869,3,26.4,Two year,No,1.0,Low Risk,26.4
782,27,54.75,Month-to-month,DSL,1.0,Low Risk,54.75
808,40,101.3,Month-to-month,Fiber optic,1.0,Low Risk,101.3
1199,17,78.9,Month-to-month,Fiber optic,1.0,Low Risk,78.9
1227,30,90.4,One year,Fiber optic,1.0,Low Risk,90.4
554,32,80.35,Month-to-month,Fiber optic,1.0,Low Risk,80.35
1265,56,94.8,One year,Fiber optic,1.0,Low Risk,94.8
623,20,19.7,Two year,No,1.0,Low Risk,19.7
845,15,20.55,One year,No,1.0,Low Risk,20.55
1219,62,70.45,Month-to-month,DSL,0.0,,70.45
709,29,80.1,Month-to-month,DSL,0.0,,80.1
720,2,20.2,One year,No,0.0,,20.2
721,61,20.55,Two year,No,0.0,,20.55
1370,27,20.25,Two year,No,0.0,,20.25
122,3,74.4,Month-to-month,Fiber optic,0.0,,74.4
138,57,19.6,Two year,No,0.0,,19.6
708,29,75.3,Month-to-month,Fiber optic,0.0,,75.3
705,25,79.85,Month-to-month,Fiber optic,0.0,,79.85
703,2,20.55,Month-to-month,No,0.0,,20.55
692,47,20.55,One year,No,0.0,,20.55
144,71,23.95,Two year,No,0.0,,23.95
1020,39,51.05,Month-to-month,DSL,0.0,,51.05
1013,1,49.5,Month-to-month,DSL,0.0,,49.5
162,2,69.7,Month-to-month,Fiber optic,0.0,,69.7
163,53,73.9,Two year,DSL,0.0,,73.9
1009,23,20.75,One year,No,0.0,,20.75
1008,32,99.55,Month-to-month,Fiber optic,0.0,,99.55
1228,49,100.85,Month-to-month,Fiber optic,0.0,,100.85
177,7,76.45,Month-to-month,Fiber optic,0.0,,76.45
1059,23,90.6,Month-to-month,Fiber optic,0.0,,90.6
549,15,19.75,Month-to-month,No,0.0,,19.75
110,55,96.75,Month-to-month,Fiber optic,0.0,,96.75
1060,26,20.05,One year,No,0.0,,20.05
4,2,70.7,Month-to-month,Fiber optic,0.0,,70.7
802,39,23.8,Two year,No,0.0,,23.8
793,34,67.65,Two year,DSL,0.0,,67.65
11,16,18.95,Two year,No,0.0,,18.95
805,72,76.8,Two year,DSL,0.0,,76.8
812,42,25.25,Two year,No,0.0,,25.25
1398,24,84.35,Month-to-month,Fiber optic,0.0,,84.35
1121,50,82.5,One year,DSL,0.0,,82.5
779,2,45.35,Month-to-month,DSL,0.0,,45.35
37,46,74.8,Month-to-month,Fiber optic,0.0,,74.8
40,10,49.55,One year,DSL,0.0,,49.55
1392,33,20.1,One year,No,0.0,,20.1
824,62,25.8,Two year,No,0.0,,25.8
50,43,90.25,Month-to-month,Fiber optic,0.0,,90.25
59,72,107.5,Two year,Fiber optic,0.0,,107.5
747,3,75.05,Month-to-month,Fiber optic,0.0,,75.05
70,1,49.05,Month-to-month,DSL,0.0,,49.05
71,52,20.4,One year,No,0.0,,20.4
1383,1,49.95,Month-to-month,DSL,0.0,,49.95
79,45,25.9,One year,No,0.0,,25.9
739,72,89.85,Two year,DSL,0.0,,89.85
1344,28,20.5,Month-to-month,No,0.0,,20.5
92,66,84.0,Two year,DSL,0.0,,84.0
1086,11,89.7,Month-to-month,Fiber optic,0.0,,89.7
738,42,79.35,Month-to-month,Fiber optic,0.0,,79.35
732,25,75.5,Month-to-month,Fiber optic,0.0,,75.5
1068,49,99.05,Month-to-month,Fiber optic,0.0,,99.05
1003,37,19.85,Two year,No,0.0,,19.85
201,14,80.05,Month-to-month,Fiber optic,0.0,,80.05
1230,47,87.2,Month-to-month,Fiber optic,0.0,,87.2
1180,39,49.8,Two year,DSL,0.0,,49.8
368,71,98.65,One year,Fiber optic,0.0,,98.65
602,66,74.25,One year,Fiber optic,0.0,,74.25
941,13,30.15,Month-to-month,DSL,0.0,,30.15
1297,5,75.6,Month-to-month,Fiber optic,0.0,,75.6
428,18,75.6,Month-to-month,Fiber optic,0.0,,75.6
429,68,58.25,One year,DSL,0.0,,58.25
583,1,19.0,Month-to-month,No,0.0,,19.0
939,15,19.9,Month-to-month,No,0.0,,19.9
582,4,89.2,Month-to-month,Fiber optic,0.0,,89.2
1290,72,84.45,Two year,DSL,0.0,,84.45
580,12,19.0,Month-to-month,No,0.0,,19.0
457,30,80.8,Two year,DSL,0.0,,80.8
1287,30,107.5,Month-to-month,Fiber optic,0.0,,107.5
458,2,20.0,Month-to-month,No,0.0,,20.0
1260,2,50.3,Month-to-month,DSL,0.0,,50.3
578,35,94.55,Month-to-month,Fiber optic,0.0,,94.55
464,72,116.05,Two year,Fiber optic,0.0,,116.05
1282,1,62.8,Month-to-month,DSL,0.0,,62.8
475,24,80.25,Month-to-month,Fiber optic,0.0,,80.25
482,20,81.45,Month-to-month,Fiber optic,0.0,,81.45
485,72,84.5,Two year,Fiber optic,0.0,,84.5
574,28,110.85,Month-to-month,Fiber optic,0.0,,110.85
494,1,20.4,Month-to-month,No,0.0,,20.4
897,53,105.55,Two year,Fiber optic,0.0,,105.55
503,52,84.05,Month-to-month,Fiber optic,0.0,,84.05
901,9,98.3,Month-to-month,Fiber optic,0.0,,98.3
1273,49,88.2,Month-to-month,Fiber optic,0.0,,88.2
1167,26,51.55,One year,DSL,0.0,,51.55
1168,1,19.65,One year,No,0.0,,19.65
616,8,25.25,Month-to-month,DSL,0.0,,25.25
340,32,54.65,Month-to-month,DSL,0.0,,54.65
339,63,103.4,Month-to-month,Fiber optic,0.0,,103.4
859,72,64.8,Two year,DSL,0.0,,64.8
986,12,43.8,Month-to-month,DSL,0.0,,43.8
664,57,19.5,Two year,No,0.0,,19.5
193,72,109.7,Two year,Fiber optic,0.0,,109.7
537,33,58.45,One year,DSL,0.0,,58.45
662,1,20.05,Month-to-month,No,0.0,,20.05
1142,11,75.2,Month-to-month,Fiber optic,0.0,,75.2
850,72,115.8,Two year,Fiber optic,0.0,,115.8
659,37,20.35,Month-to-month,No,0.0,,20.35
655,10,95.1,Month-to-month,Fiber optic,0.0,,95.1
226,31,81.15,One year,DSL,0.0,,81.15
1237,13,19.45,One year,No,0.0,,19.45
1144,1,35.55,Month-to-month,DSL,0.0,,35.55
1328,23,54.25,Month-to-month,DSL,0.0,,54.25
983,1,86.6,Month-to-month,Fiber optic,0.0,,86.6
1310,34,97.65,Month-to-month,Fiber optic,0.0,,97.65
968,71,77.35,Two year,DSL,0.0,,77.35
271,57,59.75,Two year,DSL,0.0,,59.75
274,1,70.6,Month-to-month,Fiber optic,0.0,,70.6
861,64,93.4,Two year,Fiber optic,0.0,,93.4
862,20,73.65,Month-to-month,Fiber optic,0.0,,73.65
292,23,86.8,One year,Fiber optic,0.0,,86.8
964,1,45.7,Month-to-month,DSL,0.0,,45.7
300,23,64.9,One year,DSL,0.0,,64.9
961,17,20.5,One year,No,0.0,,20.5
953,15,58.95,Month-to-month,DSL,0.0,,58.95
617,66,102.85,One year,Fiber optic,0.0,,102.85
334,2,80.6,Month-to-month,Fiber optic,0.0,,80.6
338,36,94.8,Month-to-month,Fiber optic,0.0,,94.8
0,1,29.85,Month-to-month,DSL,0.0,,29.85
